location,bhk,areaType,square_feet,transaction,status,floorNum,totalFloor,furnishing,facing,price_per_sqft,price,built_up_area
palanpur,2,Super Area,1311,New Property,Under Construction,,,Unfurnished,,4251.0,0.56,1311
palanpur,3,Super Area,1586,New Property,Undefined,,,Unfurnished,,3751.0,0.59,1586
palanpur,2,Super Area,1185,New Property,Ready to Move,5.0,14.0,Unfurnished,East,3784.0,0.45,1185
dindoli,2,Carpet Area,644,New Property,Under Construction,5.0,10.0,Unfurnished,West,2891.0,0.34,708
palanpur,2,Super Area,1204,New Property,Under Construction,7.0,14.0,Unfurnished,East,3838.0,0.46,1204
palanpur,2,Carpet Area,697,New Property,Under Construction,6.0,14.0,Unfurnished,East,4291.0,0.55,767
pal,2,Super Area,1351,New Property,Under Construction,5.0,13.0,Unfurnished,South -West,4251.0,0.57,1351
jahangirpura,2,Super Area,1278,Resale,Undefined,2.0,13.0,Unfurnished,East,3861.0,0.49,1278
palanpur,3,Carpet Area,900,New Property,Under Construction,3.0,14.0,Unfurnished,East,3450.0,0.56,990
palanpur,2,Super Area,1315,New Property,Under Construction,6.0,13.0,Unfurnished,East,3991.0,0.53,1315
dindoli,2,Super Area,1275,Resale,Under Construction,5.0,14.0,Unfurnished,East,2863.0,0.36,1275
,2,Carpet Area,1650,Resale,Ready to Move,7.0,10.0,Unfurnished,East,3125.0,0.5,1815
palanpur,2,Super Area,1150,Resale,Undefined,1.0,7.0,Unfurnished,,3304.0,0.38,1150
althan,2,Carpet Area,900,Resale,Ready to Move,1.0,9.0,Semi-Furnished,East,4333.0,0.52,990
palanpur,2,Carpet Area,975,Resale,Under Construction,9.0,13.0,Unfurnished,South -West,3843.0,0.49,1072
dindoli,3,Super Area,1511,New Property,Under Construction,5.0,13.0,Unfurnished,North - East,2368.0,0.36,1511
dindoli,1,Carpet Area,546,Resale,Ready to Move,2.0,5.0,Semi-Furnished,East,2597.0,0.22,601
jahangirpura,2,Super Area,1050,Resale,Ready to Move,8.0,12.0,Unfurnished,East,3714.0,0.39,1050
athwalines,2,Super Area,1200,Resale,Ready to Move,4.0,7.0,Unfurnished,East,3750.0,0.45,1200
,1,Carpet Area,731,Resale,Ready to Move,2.0,5.0,Unfurnished,East,2736.0,0.2,804
pal,3,Carpet Area,1600,Resale,Ready to Move,2.0,13.0,Semi-Furnished,,,0.56,1760
pal,3,Carpet Area,1400,Resale,Ready to Move,6.0,13.0,Semi-Furnished,East,3735.0,0.62,1540
amroli,2,Carpet Area,950,Resale,Ready to Move,5.0,5.0,Unfurnished,West,2829.0,0.29,1045
palanpur,1,Super Area,650,Resale,Ready to Move,4.0,5.0,Unfurnished,East,4462.0,0.29,650
palanpur,2,Carpet Area,700,New Property,Ready to Move,,,Unfurnished,East,4300.0,0.52,770
palanpur,2,Super Area,1250,New Property,Ready to Move,7.0,14.0,Unfurnished,South -West,3325.0,0.42,1250
althan,2,Super Area,1168,New Property,Ready to Move,5.0,12.0,Unfurnished,East,3682.0,0.43,1168
althan,2,Super Area,1252,Resale,Ready to Move,5.0,15.0,Unfurnished,South - East,3514.0,0.44,1252
adajan,2,Super Area,1155,Resale,Ready to Move,7.0,13.0,Unfurnished,North - East,3290.0,0.38,1155
pal,2,Super Area,1300,Resale,Ready to Move,5.0,13.0,Furnished,East,3846.0,0.5,1300
althan,2,Super Area,1278,New Property,Under Construction,6.0,14.0,Unfurnished,South -West,3551.0,0.45,1278
amroli,2,Super Area,1240,New Property,Ready to Move,9.0,14.0,Unfurnished,South - East,3629.0,0.45,1240
palanpur,2,Super Area,1311,New Property,Under Construction,9.0,13.0,Unfurnished,South -West,4251.0,0.56,1311
athwalines,3,Super Area,1800,Resale,Ready to Move,8.0,12.0,Unfurnished,East,3333.0,0.6,1800
palanpur,2,Carpet Area,665,Resale,Under Construction,4.0,13.0,Unfurnished,South -West,4257.0,0.52,732
jahangirpura,2,Carpet Area,800,Resale,Ready to Move,4.0,5.0,Unfurnished,East,3333.0,0.4,880
pal,2,Super Area,1322,New Property,Under Construction,7.0,13.0,Unfurnished,East,4160.0,0.55,1322
althan,2,Carpet Area,850,Resale,Ready to Move,4.0,7.0,Furnished,South - East,,0.45,935
udhna,3,Super Area,1500,Resale,Ready to Move,,,,,3667.0,0.55,1500
palanpur,3,Super Area,1515,Resale,Ready to Move,3.0,5.0,Semi-Furnished,,3960.0,0.6,1515
jahangirpura,2,Carpet Area,800,New Property,Under Construction,5.0,13.0,Unfurnished,,2868.0,0.38,880
althan,2,Super Area,1173,Resale,Ready to Move,8.0,19.0,Unfurnished,,4774.0,0.56,1173
palanpur,2,Carpet Area,660,Resale,Ready to Move,4.0,5.0,Furnished,East,3932.0,0.46,726
palanpur,2,Super Area,1326,Resale,Ready to Move,9.0,14.0,Unfurnished,East,3771.0,0.5,1326
jahangirpura,3,Super Area,1680,New Property,Ready to Move,6.0,13.0,Unfurnished,East,3512.0,0.59,1680
jahangirpura,2,Super Area,1170,Resale,Ready to Move,6.0,13.0,Unfurnished,East,3350.0,0.39,1170
dindoli,2,Super Area,1120,New Property,Under Construction,,,Unfurnished,,2600.0,0.29,1120
pal,3,Super Area,1630,Resale,Ready to Move,2.0,12.0,Unfurnished,South -West,3129.0,0.51,1630
palanpur,2,Super Area,1311,New Property,Under Construction,7.0,13.0,Unfurnished,East,4251.0,0.56,1311
jahangirpura,3,Carpet Area,80,Resale,Ready to Move,2.0,12.0,Unfurnished,East,,0.36,88
dumas road/hazira,3,Super Area,1050,Resale,Ready to Move,7.0,12.0,Furnished,East,5238.0,0.55,1050
pal,2,Super Area,1205,Resale,Ready to Move,4.0,5.0,Semi-Furnished,East,3734.0,0.45,1205
dindoli,2,Carpet Area,688,New Property,Under Construction,7.0,14.0,Unfurnished,East,3600.0,0.45,757
palanpur,2,Super Area,1251,Resale,Ready to Move,5.0,13.0,Semi-Furnished,South -West,4556.0,0.57,1251
pal,2,Super Area,1307,New Property,Ready to Move,7.0,14.0,Unfurnished,South -West,4250.0,0.56,1307
vesu,2,Carpet Area,701,New Property,Ready to Move,10.0,13.0,Unfurnished,East,4627.0,0.59,771
athwalines,2,Super Area,1354,Resale,Ready to Move,5.0,12.0,Furnished,East,3988.0,0.54,1354
pal,2,Carpet Area,780,Resale,Ready to Move,6.0,10.0,Furnished,East,3837.0,0.48,858
jahangirpura,2,Carpet Area,1200,Resale,Ready to Move,2.0,14.0,Unfurnished,East,,0.35,1320
althan,2,Super Area,1305,New Property,Under Construction,4.0,13.0,Unfurnished,East,3851.0,0.5,1305
palanpur,2,Super Area,1311,New Property,Under Construction,5.0,12.0,Unfurnished,South -West,4250.0,0.56,1311
jahangirpura,2,Super Area,1228,Resale,Ready to Move,2.0,5.0,Semi-Furnished,East,2850.0,0.35,1228
althan,1,Super Area,1190,Resale,Ready to Move,11.0,11.0,Furnished,East,3613.0,0.43,1190
palanpur,2,Carpet Area,707,Resale,Ready to Move,7.0,13.0,Unfurnished,East,3624.0,0.44,778
jahangirpura,2,Carpet Area,600,Resale,Ready to Move,7.0,12.0,Unfurnished,North - West,3165.0,0.32,660
adajan,2,Super Area,1110,Resale,Ready to Move,3.0,5.0,Semi-Furnished,South -West,3784.0,0.42,1110
adajan,2,Super Area,970,Resale,Ready to Move,6.0,10.0,Semi-Furnished,East,3093.0,0.3,970
vesu,2,Carpet Area,750,Resale,Ready to Move,5.0,10.0,Unfurnished,North - East,4688.0,0.6,825
dindoli,3,Super Area,1900,New Property,Under Construction,7.0,14.0,Unfurnished,East,2800.0,0.53,1900
amroli,1,Super Area,660,Resale,Ready to Move,5.0,5.0,Unfurnished,,3030.0,0.2,660
kamrej,2,Carpet Area,950,Resale,Ready to Move,2.0,5.0,Furnished,,2422.0,0.31,1045
palanpur,2,Super Area,1225,New Property,Under Construction,6.0,13.0,Unfurnished,South -West,4204.0,0.52,1225
jahangirpura,2,Carpet Area,675,Resale,Ready to Move,6.0,14.0,Unfurnished,East,3759.0,0.38,743
athwalines,2,Carpet Area,850,Resale,Ready to Move,6.0,12.0,Semi-Furnished,East,4385.0,0.57,935
adajan,3,Super Area,1375,Resale,Ready to Move,,,,,4364.0,0.6,1375
palanpur,2,Carpet Area,1265,Resale,Ready to Move,13.0,13.0,Unfurnished,East,3162.0,0.4,1392
udhna,2,Carpet Area,750,Resale,Ready to Move,1.0,4.0,Semi-Furnished,North - East,2722.0,0.24,825
katargam,1,Super Area,550,Resale,Ready to Move,5.0,5.0,Unfurnished,East,3636.0,0.2,550
adajan,2,Super Area,847,Resale,Ready to Move,1.0,13.0,Furnished,East,5903.0,0.5,847
adajan,2,Super Area,1100,Resale,Ready to Move,4.0,5.0,Furnished,East,3273.0,0.36,1100
nanpura/gopipura/chauta/sagrampura,2,Super Area,820,Resale,Ready to Move,8.0,9.0,Furnished,,2317.0,0.19,820
kamrej,1,Carpet Area,750,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,3125.0,0.25,825
althan,4,Super Area,1370,Resale,Ready to Move,3.0,4.0,Unfurnished,,3212.0,0.44,1370
adajan,3,Super Area,1725,Resale,Ready to Move,,,,,3478.0,0.6,1725
adajan,2,Super Area,1200,Resale,Ready to Move,3.0,5.0,Unfurnished,East,2917.0,0.35,1200
sarthana/varachha,2,Super Area,1267,Resale,Ready to Move,2.0,4.0,Furnished,North - West,3946.0,0.5,1267
jahangirpura,3,Super Area,1600,Resale,Ready to Move,9.0,13.0,Unfurnished,,1875.0,0.3,1600
palanpur,1,Carpet Area,441,Resale,Ready to Move,3.0,5.0,Unfurnished,South,3509.0,0.23,485
dumas road/hazira,2,Carpet Area,945,Resale,Ready to Move,7.0,10.0,Semi-Furnished,,4296.0,0.58,1040
,3,Carpet Area,1327,Resale,Ready to Move,4.0,9.0,Furnished,,2881.0,0.42,1460
sarthana/varachha,3,Carpet Area,1150,Resale,Ready to Move,4.0,5.0,Furnished,East,3500.0,0.49,1265
,2,Super Area,850,Resale,Ready to Move,3.0,4.0,Unfurnished,,2941.0,0.25,850
udhna,2,Super Area,729,Resale,Ready to Move,2.0,3.0,Semi-Furnished,,2332.0,0.17,729
althan,2,Super Area,1300,Resale,Ready to Move,9.0,13.0,Semi-Furnished,,4000.0,0.52,1300
,2,Super Area,1041,Resale,Ready to Move,2.0,5.0,Unfurnished,,3650.0,0.38,1041
,4,Carpet Area,1300,Resale,Ready to Move,0.0,2.0,Furnished,,,0.45,1430
vesu,2,Carpet Area,715,Resale,Ready to Move,8.0,10.0,Furnished,,3629.0,0.43,787
dindoli,2,Carpet Area,1050,Resale,Ready to Move,2.0,12.0,Furnished,East,3477.0,0.36,1155
palanpur,2,Super Area,1264,Resale,Ready to Move,13.0,14.0,Unfurnished,East,4351.0,0.55,1264
althan,2,Carpet Area,1144,Resale,Ready to Move,5.0,5.0,Semi-Furnished,West,,0.52,1258
punagam,2,Super Area,1155,Resale,Ready to Move,6.0,13.0,Unfurnished,West,3500.0,0.4,1155
palanpur,2,Super Area,1150,Resale,Ready to Move,5.0,5.0,Semi-Furnished,,2783.0,0.32,1150
adajan,1,Carpet Area,625,Resale,Ready to Move,2.0,4.0,Semi-Furnished,,3213.0,0.27,688
,2,Carpet Area,1000,Resale,Ready to Move,3.0,5.0,Furnished,,3077.0,0.4,1100
sarthana/varachha,2,Super Area,1193,Resale,Ready to Move,4.0,10.0,Semi-Furnished,East,3437.0,0.41,1193
palanpur,2,Super Area,1035,Resale,Ready to Move,2.0,5.0,Furnished,,4251.0,0.44,1035
dumas road/hazira,1,Super Area,785,Resale,Ready to Move,2.0,4.0,Semi-Furnished,,4076.0,0.32,785
udhna,1,Super Area,550,Resale,Ready to Move,4.0,4.0,Semi-Furnished,North - East,2318.0,0.13,550
amroli,2,Carpet Area,575,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,2789.0,0.27,632
,2,Carpet Area,1230,Resale,Ready to Move,9.0,13.0,Semi-Furnished,East,,0.3,1353
kamrej,2,Carpet Area,783,Resale,Ready to Move,5.0,5.0,Unfurnished,North - East,,0.5,861
pal,1,Super Area,750,Resale,Ready to Move,3.0,5.0,Unfurnished,East,3733.0,0.28,750
palanpur,2,Super Area,1100,Resale,Ready to Move,3.0,5.0,Unfurnished,East,3455.0,0.38,1100
kamrej,2,Super Area,1156,Resale,Ready to Move,3.0,6.0,Unfurnished,,4325.0,0.5,1156
katargam,1,Carpet Area,450,Resale,Ready to Move,5.0,5.0,Unfurnished,,,0.18,495
,2,Carpet Area,950,Resale,Ready to Move,2.0,4.0,Semi-Furnished,North - East,3043.0,0.35,1045
udhna,3,Carpet Area,1515,Resale,Ready to Move,2.0,5.0,Semi-Furnished,,,0.45,1667
,2,Carpet Area,750,Resale,Ready to Move,5.0,6.0,Semi-Furnished,East,3333.0,0.35,825
palanpur,2,Super Area,1250,Resale,Ready to Move,8.0,14.0,Furnished,East,4681.0,0.58,1250
katargam,1,Carpet Area,605,Resale,Ready to Move,2.0,5.0,Unfurnished,East,2686.0,0.16,666
palanpur,2,Super Area,1320,Resale,Under Construction,20.0,21.0,Unfurnished,,4167.0,0.55,1320
sarthana/varachha,2,Super Area,1300,Resale,Ready to Move,4.0,4.0,Furnished,,3462.0,0.45,1300
,2,Super Area,1025,Resale,Ready to Move,5.0,6.0,Furnished,,4683.0,0.48,1025
pal,2,Super Area,1280,Resale,Ready to Move,5.0,13.0,Semi-Furnished,East,3984.0,0.51,1280
palanpur,2,Carpet Area,900,Resale,Ready to Move,10.0,13.0,Semi-Furnished,,3527.0,0.45,990
,1,Super Area,756,Resale,Ready to Move,5.0,5.0,Unfurnished,,1984.0,0.15,756
,1,Super Area,750,Resale,Ready to Move,4.0,4.0,Semi-Furnished,,800.0,0.06,750
dindoli,2,Super Area,1120,Resale,Ready to Move,3.0,7.0,Furnished,East,3260.0,0.36,1120
sachin,2,Super Area,1075,Resale,Ready to Move,6.0,10.0,Semi-Furnished,East,2512.0,0.27,1075
nanpura/gopipura/chauta/sagrampura,2,Carpet Area,750,New Property,Ready to Move,2.0,5.0,Semi-Furnished,East,2435.0,0.28,825
athwalines,2,Carpet Area,750,Resale,Ready to Move,7.0,10.0,Unfurnished,,4111.0,0.37,825
althan,1,Super Area,800,Resale,Ready to Move,1.0,4.0,Furnished,,3750.0,0.3,800
palanpur,2,Super Area,1256,Resale,Ready to Move,13.0,13.0,Furnished,East,3165.0,0.4,1256
vesu,1,Carpet Area,500,,Ready to Move,4.0,8.0,Unfurnished,,,0.16,550
amroli,2,Carpet Area,580,Resale,Ready to Move,1.0,5.0,Furnished,East,2436.0,0.19,638
dindoli,2,Carpet Area,710,Resale,Ready to Move,5.0,5.0,Unfurnished,,2667.0,0.3,781
amroli,1,Super Area,775,Resale,Ready to Move,2.0,5.0,Semi-Furnished,,2129.0,0.17,775
jahangirpura,2,Carpet Area,721,Resale,Ready to Move,3.0,5.0,Semi-Furnished,East,2936.0,0.32,793
nanpura/gopipura/chauta/sagrampura,3,Super Area,1050,Resale,Ready to Move,3.0,10.0,Unfurnished,,2857.0,0.3,1050
jahangirpura,2,Carpet Area,700,Resale,Ready to Move,4.0,5.0,Semi-Furnished,East,3182.0,0.35,770
althan,2,Super Area,1252,Resale,Ready to Move,11.0,14.0,Unfurnished,,3994.0,0.5,1252
adajan,2,Super Area,1170,New Property,Ready to Move,4.0,4.0,Unfurnished,South -West,3248.0,0.38,1170
dindoli,2,Carpet Area,1136,Resale,Ready to Move,1.0,1.0,Unfurnished,,2817.0,0.32,1250
udhna,1,Super Area,650,Resale,Ready to Move,,,,,2154.0,0.14,650
athwalines,2,Carpet Area,1400,Resale,Ready to Move,4.0,5.0,Unfurnished,,,0.55,1540
,2,Super Area,800,Resale,Ready to Move,1.0,4.0,Semi-Furnished,,2814.0,0.23,800
,3,Carpet Area,1200,Resale,Ready to Move,2.0,2.0,Semi-Furnished,,3333.0,0.5,1320
udhna,3,Super Area,1550,Resale,Ready to Move,6.0,8.0,Furnished,,3548.0,0.55,1550
punagam,2,Super Area,802,Resale,Ready to Move,2.0,5.0,Semi-Furnished,,3117.0,0.25,802
,2,Super Area,1165,Resale,Ready to Move,,,,,2704.0,0.32,1165
athwalines,2,Super Area,1235,Resale,Ready to Move,1.0,12.0,Semi-Furnished,,3887.0,0.48,1235
althan,2,Super Area,1000,Resale,Ready to Move,1.0,4.0,Semi-Furnished,,4500.0,0.45,1000
dindoli,3,Carpet Area,1550,Resale,Ready to Move,12.0,14.0,Semi-Furnished,West,3517.0,0.55,1705
vesu,2,Super Area,1320,Resale,Ready to Move,,,,,4167.0,0.55,1320
,2,Super Area,1225,Resale,Ready to Move,1.0,5.0,Unfurnished,,2449.0,0.3,1225
katargam,2,Carpet Area,925,Resale,Ready to Move,3.0,4.0,Semi-Furnished,South - East,2256.0,0.22,1018
udhna,2,Super Area,1020,Resale,Ready to Move,3.0,4.0,Unfurnished,,3922.0,0.4,1020
athwalines,1,Super Area,600,Resale,Ready to Move,4.0,5.0,Furnished,,4500.0,0.27,600
,1,Carpet Area,700,,Ready to Move,9.0,12.0,Unfurnished,,,0.54,770
jahangirpura,2,Super Area,1180,Resale,Ready to Move,5.0,5.0,Unfurnished,,2712.0,0.32,1180
palanpur,2,Super Area,1150,Resale,Ready to Move,1.0,6.0,Furnished,,4783.0,0.55,1150
pal,2,Carpet Area,1050,Resale,Ready to Move,1.0,4.0,Unfurnished,,,0.6,1155
adajan,2,Super Area,960,Resale,Undefined,3.0,7.0,Semi-Furnished,,4167.0,0.4,960
,2,Super Area,862,Resale,Ready to Move,4.0,5.0,Semi-Furnished,,3191.0,0.28,862
katargam,2,Super Area,570,Resale,Ready to Move,4.0,4.0,Unfurnished,East,4423.0,0.25,570
amroli,3,Super Area,1260,Resale,Ready to Move,4.0,5.0,Furnished,,2619.0,0.33,1260
palanpur,2,Super Area,1100,Resale,Ready to Move,4.0,5.0,Furnished,,3455.0,0.38,1100
bardoli,1,Super Area,646,Resale,Ready to Move,1.0,5.0,Unfurnished,,1858.0,0.12,646
udhna,1,Super Area,550,Resale,Ready to Move,1.0,4.0,Semi-Furnished,,3091.0,0.17,550
,2,Super Area,1000,Resale,Ready to Move,1.0,5.0,Furnished,,4000.0,0.4,1000
,2,Super Area,1025,Resale,Ready to Move,2.0,5.0,Semi-Furnished,,2537.0,0.26,1025
athwalines,2,Carpet Area,925,Resale,Ready to Move,5.0,8.0,Unfurnished,,,0.41,1018
vesu,2,Super Area,1250,Resale,Ready to Move,8.0,10.0,Semi-Furnished,,4240.0,0.53,1250
,1,Super Area,475,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,2632.0,0.12,475
udhna,1,Carpet Area,640,Resale,Ready to Move,2.0,5.0,Semi-Furnished,,,0.17,704
kamrej,2,Super Area,947,Resale,Ready to Move,4.0,5.0,Semi-Furnished,,2218.0,0.21,947
amroli,1,Carpet Area,500,Resale,Ready to Move,4.0,4.0,Unfurnished,North,,0.1,550
palanpur,2,Carpet Area,600,Resale,Ready to Move,8.0,12.0,Semi-Furnished,South - East,3611.0,0.42,660
athwalines,3,Carpet Area,1300,Resale,Ready to Move,4.0,10.0,Furnished,,3567.0,0.54,1430
